N,P,K,temperature,humidity,ph,rainfall,label
8,73,24,20,22,5.607463555,85,kidneybeans
24,56,20,20,21,5.757377178,121,kidneybeans
40,75,21,16,18,5.632476707,98,kidneybeans
18,73,20,25,25,5.537476043,97,kidneybeans
31,73,16,25,25,5.502267728,83,kidneybeans
33,80,17,25,21,5.797838012,148,kidneybeans
17,79,16,16,23,5.875492335,86,kidneybeans
33,59,17,15,22,5.553824208,85,kidneybeans
19,80,22,15,20,5.743606378,92,kidneybeans
39,79,25,21,21,5.976463138,89,kidneybeans
26,69,19,23,22,5.607056322,134,kidneybeans
21,64,16,15,24,5.529022911,112,kidneybeans
29,77,21,16,25,5.821329174,63,kidneybeans
40,78,23,24,20,5.550670141,68,kidneybeans
31,67,19,18,24,5.858736423,113,kidneybeans
5,79,18,20,24,5.993000493,124,kidneybeans
20,76,19,24,23,5.727637076,106,kidneybeans
27,72,19,20,18,5.666573023,101,kidneybeans
20,64,17,19,21,5.96518218,148,kidneybeans
33,80,20,16,19,5.72744506,71,kidneybeans
17,58,25,17,23,5.711075565,135,kidneybeans
19,60,24,15,21,5.576217701,122,kidneybeans
7,62,23,24,19,5.537870882,119,kidneybeans
9,74,22,25,22,5.80882558,124,kidneybeans
23,55,20,24,25,5.703965528,84,kidneybeans
19,57,20,16,22,5.964793674,75,kidneybeans
25,77,22,17,19,5.771577272,84,kidneybeans
20,55,17,25,20,5.910847916,82,kidneybeans
20,63,22,16,19,5.52865409,139,kidneybeans
7,60,17,20,21,5.872404376,115,kidneybeans
27,70,23,23,23,5.785825992,82,kidneybeans
12,61,20,16,19,5.852666896,140,kidneybeans
10,60,25,21,21,5.585471227,125,kidneybeans
40,77,18,20,25,5.757420303,140,kidneybeans
14,78,18,23,22,5.941815963,66,kidneybeans
40,70,15,21,23,5.968755556,67,kidneybeans
19,71,19,23,19,5.816422224,140,kidneybeans
34,56,18,24,24,5.833873831,74,kidneybeans
10,59,21,23,22,5.564443931,74,kidneybeans
25,76,20,18,19,5.694864263,132,kidneybeans
25,62,22,18,22,5.550593679,62,kidneybeans
35,61,21,19,25,5.824797164,145,kidneybeans
38,79,22,25,20,5.795483872,128,kidneybeans
16,69,18,19,20,5.603436566,149,kidneybeans
30,75,25,20,18,5.648720449,149,kidneybeans
40,73,21,24,20,5.689286658,118,kidneybeans
33,62,15,21,22,5.720431313,114,kidneybeans
13,61,17,25,21,5.541567135,122,kidneybeans
37,60,21,16,25,5.711643082,121,kidneybeans
36,58,19,15,25,5.750352031,126,kidneybeans
15,64,18,18,23,5.962110699,149,kidneybeans
17,59,18,25,21,5.760189445,68,kidneybeans
25,79,22,19,19,5.807412163,83,kidneybeans
27,80,19,21,22,5.771329671,62,kidneybeans
15,58,19,19,21,5.80317873,102,kidneybeans
14,73,18,17,25,5.648300693,72,kidneybeans
10,66,16,20,19,5.555756718,132,kidneybeans
26,71,18,25,21,5.504415092,140,kidneybeans
23,76,22,19,21,5.645456078,100,kidneybeans
25,60,17,21,19,5.554289148,132,kidneybeans
6,69,21,17,19,5.818730602,102,kidneybeans
36,61,17,19,23,5.992693431,62,kidneybeans
13,63,19,23,22,5.863771002,111,kidneybeans
19,56,25,18,23,5.896986118,73,kidneybeans
39,76,24,17,21,5.635505731,73,kidneybeans
7,60,25,25,25,5.995650518,132,kidneybeans
25,75,22,18,23,5.706186382,130,kidneybeans
39,67,17,17,22,5.750492759,76,kidneybeans
34,80,17,20,21,5.541607182,114,kidneybeans
39,71,24,15,21,5.517561376,139,kidneybeans
17,76,25,18,22,5.723959646,141,kidneybeans
12,75,23,20,24,5.607545628,119,kidneybeans
29,55,22,23,25,5.610458902,131,kidneybeans
12,80,21,18,24,5.749661631,75,kidneybeans
14,65,17,17,19,5.550334661,109,kidneybeans
40,72,20,17,22,5.90379054,149,kidneybeans
28,74,17,23,25,5.971859039,147,kidneybeans
35,72,24,25,22,5.613523331,84,kidneybeans
28,56,19,20,25,5.72741407,135,kidneybeans
31,77,17,19,18,5.691045718,137,kidneybeans
8,70,21,21,20,5.815398841,88,kidneybeans
40,68,21,20,21,5.504327206,119,kidneybeans
37,72,22,17,19,5.849784925,128,kidneybeans
16,80,17,21,24,5.652398899,88,kidneybeans
30,59,17,15,22,5.636678227,105,kidneybeans
15,71,25,20,23,5.980405128,128,kidneybeans
39,72,25,23,22,5.861239721,121,kidneybeans
10,65,22,16,22,5.947623418,128,kidneybeans
19,58,23,20,19,5.960835433,73,kidneybeans
28,64,23,20,25,5.830471883,87,kidneybeans
32,64,25,15,23,5.879731189,77,kidneybeans
28,75,17,16,20,5.553159363,125,kidneybeans
39,59,15,24,21,5.567487439,130,kidneybeans
36,69,20,17,21,5.716804953,95,kidneybeans
35,78,22,24,18,5.922795133,70,kidneybeans
38,76,22,22,18,5.765550624,94,kidneybeans
28,55,15,19,18,5.529232718,116,kidneybeans
36,75,25,16,19,5.64063855,67,kidneybeans
39,73,22,20,18,5.534540884,100,kidneybeans
31,58,21,20,18,5.772825343,140,kidneybeans
15,79,21,23,19,5.88553643,89,kidneybeans
21,73,18,20,21,5.631327568,76,kidneybeans
31,71,16,25,20,5.77639724,101,kidneybeans
13,79,16,17,23,5.59819203,125,kidneybeans
10,80,23,25,24,5.99540344,105,kidneybeans
6,69,20,18,23,5.931764042,139,kidneybeans
31,75,24,20,24,5.532256539,124,kidneybeans
25,80,19,15,18,5.539622855,84,kidneybeans
17,75,24,15,23,5.785609026,138,kidneybeans
27,67,21,23,21,5.657077781,123,kidneybeans
21,57,18,17,23,5.983691576,132,kidneybeans
35,62,20,21,24,5.633254217,68,kidneybeans
15,77,24,20,24,5.530056098,92,kidneybeans
25,80,21,22,19,5.727421782,96,kidneybeans
26,71,24,21,20,5.767206532,110,kidneybeans
26,58,19,23,22,5.767275759,95,kidneybeans
40,71,21,16,22,5.760162111,119,kidneybeans
5,66,15,17,22,5.960723119,111,kidneybeans
24,74,24,16,25,5.857317198,85,kidneybeans
6,66,24,20,23,5.744918203,124,kidneybeans
12,59,18,23,19,5.671590716,67,kidneybeans
25,80,18,23,19,5.833890903,134,kidneybeans
17,60,21,15,20,5.563575363,112,kidneybeans
14,67,23,25,22,5.934510004,120,kidneybeans
10,64,17,25,21,5.609357422,132,kidneybeans
11,74,21,20,22,5.572222542,61,kidneybeans
17,71,19,23,21,5.629145253,91,kidneybeans
33,77,18,21,20,5.742903322,87,kidneybeans
8,77,19,15,20,5.568215242,121,kidneybeans
9,65,21,15,24,5.608616317,83,kidneybeans
17,63,20,15,19,5.653514606,88,kidneybeans
39,76,17,22,22,5.529701046,106,kidneybeans
6,79,15,16,19,5.573187723,141,kidneybeans
24,77,20,20,25,5.708741377,142,kidneybeans
17,55,21,24,24,5.897066324,95,kidneybeans
32,55,17,15,21,5.526733835,122,kidneybeans
30,73,21,22,19,5.713796332,100,kidneybeans
20,75,17,18,20,5.653543503,75,kidneybeans
32,72,16,23,25,5.536173882,111,kidneybeans
30,69,15,22,19,5.965845177,144,kidneybeans
19,72,19,17,20,5.831048714,76,kidneybeans
38,66,20,18,25,5.653924082,93,kidneybeans
9,71,18,25,25,5.545713527,108,kidneybeans
26,62,25,16,18,5.604081904,131,kidneybeans
35,62,18,19,21,5.585180339,118,kidneybeans
22,66,19,24,22,5.838889728,121,kidneybeans
22,78,23,24,19,5.594937241,107,kidneybeans
35,79,23,15,23,5.633809345,145,kidneybeans
40,70,25,15,25,5.545090986,79,kidneybeans
17,66,21,19,25,5.788310286,150,kidneybeans
17,71,16,20,21,5.529798511,92,kidneybeans
15,62,20,17,20,5.757702555,134,kidneybeans
26,65,21,17,22,5.660547906,73,kidneybeans
17,74,21,20,24,5.822884725,73,kidneybeans
36,80,25,17,23,5.630234213,107,kidneybeans
34,73,22,17,22,5.898910653,133,kidneybeans
29,75,16,25,19,5.524333517,64,kidneybeans
16,63,23,15,19,5.579305199,73,kidneybeans
7,67,19,20,19,5.650220727,68,kidneybeans
5,72,22,15,21,5.985398808,108,kidneybeans
7,65,22,20,25,5.593312947,108,kidneybeans
14,73,16,15,25,5.666842546,132,kidneybeans
30,59,18,21,24,5.962977025,112,kidneybeans
35,67,23,15,24,5.82423222,109,kidneybeans
17,72,23,21,21,5.578941998,107,kidneybeans
16,75,25,22,23,5.845270519,126,kidneybeans
28,59,25,21,19,5.762899549,137,kidneybeans
35,57,24,25,25,5.614926745,120,kidneybeans
36,65,19,16,18,5.629149067,86,kidneybeans
20,58,25,22,22,5.735370048,97,kidneybeans
34,63,21,16,24,5.831788424,97,kidneybeans
33,66,23,15,21,5.690607881,128,kidneybeans
39,61,18,18,25,5.985196053,126,kidneybeans
11,80,16,22,25,5.608727037,88,kidneybeans
28,73,25,16,23,5.977904833,147,kidneybeans
9,58,22,18,19,5.632359932,101,kidneybeans
40,80,25,23,20,5.914389854,123,kidneybeans
7,59,19,25,21,5.768030434,146,kidneybeans
25,74,20,24,24,5.959629953,92,kidneybeans
10,69,15,15,19,5.550284279,65,kidneybeans
39,60,16,25,21,5.74146944,70,kidneybeans
22,69,21,22,18,5.553907505,102,kidneybeans
22,74,20,24,20,5.614602385,148,kidneybeans
15,71,18,23,18,5.665288835,94,kidneybeans
16,72,24,24,21,5.956167756,122,kidneybeans
34,61,25,15,25,5.960240443,149,kidneybeans
13,59,23,21,19,5.919652605,117,kidneybeans
13,71,25,24,22,5.561558033,131,kidneybeans
9,64,21,19,18,5.836590729,61,kidneybeans
10,55,24,20,21,5.930086787,119,kidneybeans
23,65,25,25,25,5.643841108,93,kidneybeans
17,75,19,15,21,5.556312,63,kidneybeans
17,60,20,15,21,5.541818952,109,kidneybeans
25,55,18,17,19,5.556301083,96,kidneybeans
10,60,20,24,18,5.568462345,127,kidneybeans
37,72,19,22,24,5.676788481,82,kidneybeans
28,66,20,16,22,5.516838853,62,kidneybeans
30,57,22,22,20,5.754441022,62,kidneybeans
15,73,20,21,19,5.978563661,116,kidneybeans
31,70,23,16,20,5.848628579,117,kidneybeans
20,62,25,15,22,5.978552645,70,kidneybeans
7,74,24,25,22,5.687324663,149,kidneybeans
12,56,24,25,24,5.525640242,87,kidneybeans
6,72,23,18,19,5.881223557,143,kidneybeans
36,76,18,22,21,5.686934125,60,kidneybeans
31,79,18,25,24,5.855912589,98,kidneybeans
18,64,19,24,21,5.831679881,127,kidneybeans
37,80,19,18,20,5.648117331,95,kidneybeans
33,70,15,18,23,5.768080233,99,kidneybeans
19,61,17,19,21,5.730826885,74,kidneybeans
18,57,24,18,23,5.889562078,136,kidneybeans
26,80,25,21,23,5.8346153,74,kidneybeans
13,64,20,24,25,5.995650646,93,kidneybeans
23,65,17,21,19,5.789697767,134,kidneybeans
17,61,21,17,20,5.881126408,107,kidneybeans
40,80,23,15,18,5.502511319,145,kidneybeans
29,70,21,15,21,5.917640755,104,kidneybeans
12,74,21,24,25,5.891656076,112,kidneybeans
15,74,21,15,24,5.711266261,113,kidneybeans
26,56,24,24,25,5.859102659,141,kidneybeans
16,57,23,22,22,5.662408704,70,kidneybeans
24,71,22,20,22,5.520357357,136,kidneybeans
12,78,16,19,19,5.611956684,137,kidneybeans
40,76,16,19,22,5.585483536,117,kidneybeans
39,75,22,20,25,5.801340788,97,kidneybeans
28,64,19,18,20,5.849505424,147,kidneybeans
36,55,18,16,24,5.527033918,79,kidneybeans
16,65,20,15,19,5.578770172,84,kidneybeans
25,72,21,17,21,5.831676718,98,kidneybeans
8,59,16,23,19,5.535720609,73,kidneybeans
33,76,20,18,23,5.7308013,149,kidneybeans
26,73,16,17,25,5.838143587,140,kidneybeans
33,57,15,25,18,5.570550617,70,kidneybeans
21,78,15,22,22,5.928892931,126,kidneybeans
33,63,21,23,22,5.799320794,84,kidneybeans
10,66,16,22,24,5.663179098,136,kidneybeans
19,69,23,16,18,5.674524363,148,kidneybeans
9,73,17,20,22,5.721539502,92,kidneybeans
14,65,24,19,23,5.865852325,143,kidneybeans
25,66,25,16,18,5.705327953,86,kidneybeans
11,74,21,18,25,5.528127726,131,kidneybeans
13,65,19,22,18,5.606692273,94,kidneybeans
30,80,23,25,19,5.525551061,127,kidneybeans
28,56,21,21,21,5.551919469,102,kidneybeans
37,64,16,16,19,5.609896217,115,kidneybeans
40,55,15,25,18,5.973658172,60,kidneybeans
12,79,18,23,19,5.994474859,89,kidneybeans
14,63,19,24,24,5.674731103,104,kidneybeans
38,73,21,16,25,5.683366013,78,kidneybeans
10,58,22,24,20,5.724905123,93,kidneybeans
23,58,20,22,20,5.871824639,70,kidneybeans
28,80,17,24,18,5.575994054,109,kidneybeans
18,71,16,20,18,5.846573161,66,kidneybeans
22,57,19,16,20,5.976076538,141,kidneybeans
6,58,20,25,20,5.500588162,112,kidneybeans
23,75,25,19,24,5.843580642,84,kidneybeans
14,59,21,21,25,5.674359316,126,kidneybeans
29,80,24,20,25,5.851386939,108,kidneybeans
34,72,19,19,19,5.8364937,90,kidneybeans
14,79,21,17,25,5.977716804,104,kidneybeans
23,61,22,15,20,5.572674562,84,kidneybeans
22,67,25,23,19,5.690995762,150,kidneybeans
20,60,16,22,24,5.742766372,76,kidneybeans
14,78,16,21,18,5.88862976,99,kidneybeans
27,67,22,15,25,5.910099155,66,kidneybeans
13,63,21,24,21,5.503541284,82,kidneybeans
39,64,16,23,18,5.529490415,87,kidneybeans
18,76,24,21,25,5.816842099,90,kidneybeans
22,69,23,19,20,5.736454286,143,kidneybeans
9,65,17,17,22,5.845319774,61,kidneybeans
15,79,21,17,22,5.796890423,144,kidneybeans
28,55,23,22,18,5.62201172,125,kidneybeans
12,67,19,19,23,5.851088349,87,kidneybeans
9,78,25,16,24,5.895627269,105,kidneybeans
36,73,25,17,20,5.898227189,126,kidneybeans
40,76,20,21,24,5.727981525,96,kidneybeans
10,71,23,22,25,5.787731131,126,kidneybeans
20,78,20,16,24,5.710965438,126,kidneybeans
39,60,20,17,22,5.695177966,73,kidneybeans
31,75,23,19,19,5.778817538,82,kidneybeans
25,72,15,20,22,5.978022201,112,kidneybeans
30,71,15,16,20,5.848112421,92,kidneybeans
11,80,18,24,24,5.762722582,119,kidneybeans
19,75,23,19,18,5.710481359,143,kidneybeans
24,74,23,20,25,5.718618525,64,kidneybeans
35,77,18,21,25,5.798462735,140,kidneybeans
15,71,22,16,22,5.557438124,81,kidneybeans
7,67,25,18,18,5.792330109,106,kidneybeans
9,73,22,21,20,5.93338999,140,kidneybeans
9,72,18,22,19,5.568024551,66,kidneybeans
18,55,21,18,20,5.727631653,68,kidneybeans
12,68,20,18,23,5.95279593,84,kidneybeans
16,67,17,20,19,5.949454727,78,kidneybeans
31,55,25,21,25,5.639606859,106,kidneybeans
30,67,21,17,22,5.511730883,136,kidneybeans
36,65,22,24,21,5.508997773,149,kidneybeans
39,65,23,15,19,5.818599765,105,kidneybeans
6,77,24,17,19,5.691293664,117,kidneybeans
27,64,23,16,19,5.901167674,128,kidneybeans
7,65,21,17,22,5.700672802,85,kidneybeans
28,66,22,19,20,5.58252413,109,kidneybeans
11,71,23,21,22,5.963030621,92,kidneybeans
17,69,22,24,24,5.72244369,128,kidneybeans
19,72,22,22,22,5.804241195,85,kidneybeans
36,58,19,17,21,5.95106758,78,kidneybeans
23,78,19,24,23,5.679961417,83,kidneybeans
10,65,17,18,21,5.966539383,142,kidneybeans
15,68,18,16,22,5.743389475,114,kidneybeans
24,71,24,16,24,5.867064678,69,kidneybeans
14,66,16,16,20,5.953056966,141,kidneybeans
29,56,22,18,18,5.803271728,62,kidneybeans
34,56,15,22,19,5.566027069,101,kidneybeans
10,66,20,22,22,5.752468927,105,kidneybeans
39,67,15,25,21,5.909453064,138,kidneybeans
40,76,25,17,18,5.507944206,136,kidneybeans
39,80,25,21,18,5.970249283,91,kidneybeans
22,61,23,21,24,5.693652374,132,kidneybeans
18,70,25,15,21,5.79772791,62,kidneybeans
12,71,16,18,20,5.790078181,60,kidneybeans
34,78,20,16,23,5.826315218,117,kidneybeans
10,79,21,16,23,5.543064694,105,kidneybeans
10,77,19,22,21,5.728428568,95,kidneybeans
31,69,16,16,19,5.829105652,98,kidneybeans
37,66,23,17,25,5.998912167,80,kidneybeans
21,67,20,25,23,5.825195991,116,kidneybeans
35,69,23,19,19,5.620758004,148,kidneybeans
35,60,18,25,24,5.579418634,114,kidneybeans
12,72,24,22,19,5.78836497,115,kidneybeans
28,70,23,24,23,5.813550187,71,kidneybeans
12,58,15,15,22,5.934184304,145,kidneybeans
21,74,19,25,18,5.675557508,67,kidneybeans
8,64,19,15,22,5.693477732,137,kidneybeans
22,77,19,18,19,5.50958105,63,kidneybeans
33,62,17,17,23,5.546977779,92,kidneybeans
39,67,21,21,19,5.644171931,107,kidneybeans
31,80,16,25,19,5.572967949,109,kidneybeans
38,73,22,21,22,5.610417567,141,kidneybeans
40,77,23,23,22,5.536458733,117,kidneybeans
27,57,15,19,24,5.965484635,74,kidneybeans
36,62,17,19,22,5.896519757,135,kidneybeans
26,64,21,23,18,5.734773605,104,kidneybeans
12,80,21,22,18,5.888250451,90,kidneybeans
29,55,16,19,18,5.840575262,95,kidneybeans
39,62,17,20,25,5.761258296,65,kidneybeans
38,76,23,23,19,5.832199193,143,kidneybeans
31,65,22,21,20,5.591247397,67,kidneybeans
27,56,24,18,25,5.740234688,138,kidneybeans
15,72,16,15,19,5.919005632,109,kidneybeans
13,67,24,21,18,5.567709269,123,kidneybeans
31,65,15,19,18,5.588638164,148,kidneybeans
39,64,20,25,20,5.646341113,71,kidneybeans
8,79,23,15,23,5.514806556,64,kidneybeans
37,69,18,16,19,5.862907842,107,kidneybeans
13,72,23,18,21,5.615450755,100,kidneybeans
33,62,23,18,21,5.621954089,144,kidneybeans
6,62,17,21,25,5.899967643,120,kidneybeans
23,57,24,17,25,5.72755092,135,kidneybeans
35,80,19,18,24,5.706690324,118,kidneybeans
30,66,16,15,25,5.660799669,113,kidneybeans
16,75,23,17,24,5.926334421,70,kidneybeans
27,76,20,24,25,5.502407545,146,kidneybeans
33,61,15,19,21,5.76922334,73,kidneybeans
17,69,25,24,22,5.695704014,91,kidneybeans
32,67,25,21,21,5.821731475,142,kidneybeans
32,67,22,17,22,5.518155379,72,kidneybeans
20,61,21,23,23,5.550065751,127,kidneybeans
34,64,19,23,22,5.908645587,126,kidneybeans
30,69,21,20,20,5.704917055,101,kidneybeans
6,77,15,22,18,5.6368565,60,kidneybeans
26,73,18,24,21,5.955067621,143,kidneybeans
36,63,24,22,24,5.858837135,147,kidneybeans
26,76,23,20,25,5.728962441,63,kidneybeans
9,74,15,22,23,5.702174216,104,kidneybeans
40,65,24,24,18,5.986432744,101,kidneybeans
26,79,15,15,20,5.67361026,146,kidneybeans
25,75,18,17,23,5.827615079,90,kidneybeans
33,63,24,23,25,5.554399058,148,kidneybeans
38,73,21,22,23,5.914377149,136,kidneybeans
33,56,19,18,23,5.949342158,98,kidneybeans
38,80,20,19,20,5.908109346,74,kidneybeans
8,79,20,19,23,5.952283923,129,kidneybeans
14,70,24,19,19,5.600880431,114,kidneybeans
35,68,17,23,23,5.976746214,81,kidneybeans
14,80,18,18,25,5.864876507,60,kidneybeans
8,80,24,17,19,5.534018317,123,kidneybeans
8,66,21,16,18,5.945726255,101,kidneybeans
19,73,15,23,20,5.645614294,136,kidneybeans
22,56,20,17,24,5.841816446,70,kidneybeans
6,55,17,22,21,5.759528882,68,kidneybeans
38,58,17,17,19,5.518762744,123,kidneybeans
12,64,19,25,25,5.664191934,121,kidneybeans
14,78,18,23,19,5.806656766,124,kidneybeans
11,72,22,20,18,5.791516573,90,kidneybeans
34,65,19,22,19,5.811384707,116,kidneybeans
22,68,25,16,20,5.649485117,130,kidneybeans
36,79,22,22,24,5.974622086,78,kidneybeans
12,58,17,24,24,5.765892474,130,kidneybeans
5,79,16,17,25,5.628310312,92,kidneybeans
5,61,17,19,20,5.911077815,99,kidneybeans
21,60,18,19,22,5.603331441,141,kidneybeans
40,79,21,25,23,5.986402551,97,kidneybeans
26,56,22,15,19,5.839433788,93,kidneybeans
40,69,19,17,20,5.540824571,149,kidneybeans
37,59,22,25,22,5.705832561,81,kidneybeans
19,58,17,15,25,5.804706136,132,kidneybeans
7,73,20,23,20,5.541854368,148,kidneybeans
14,69,23,23,22,5.626108733,86,kidneybeans
24,69,17,16,19,5.813690866,99,kidneybeans
21,72,15,15,21,5.590056847,83,kidneybeans
9,73,23,19,22,5.555125958,111,kidneybeans
10,61,19,21,25,5.675994895,76,kidneybeans
36,65,25,16,25,5.850890253,125,kidneybeans
25,57,25,22,22,5.634582119,144,kidneybeans
23,60,16,23,18,5.642460046,88,kidneybeans
36,65,25,22,24,5.715202749,71,kidneybeans
21,66,16,15,20,5.901443351,139,kidneybeans
7,61,23,22,22,5.800872193,69,kidneybeans
32,77,23,21,24,5.873639985,100,kidneybeans
39,78,23,23,20,5.648417517,110,kidneybeans
18,67,17,16,18,5.940171339,147,kidneybeans
40,56,17,19,21,5.715176802,118,kidneybeans
30,70,16,18,23,5.544878104,86,kidneybeans
21,71,16,24,23,5.992199813,126,kidneybeans
12,77,21,23,25,5.713765163,131,kidneybeans
19,59,16,19,24,5.5548128,77,kidneybeans
12,78,18,21,18,5.644806152,65,kidneybeans
27,70,18,20,20,5.91379224,106,kidneybeans
23,62,15,20,20,5.594756467,124,kidneybeans
35,64,25,15,22,5.706502765,128,kidneybeans
28,73,20,18,22,5.528787112,150,kidneybeans
26,61,23,16,19,5.748430184,119,kidneybeans
21,72,19,21,21,5.808208247,146,kidneybeans
37,74,15,24,25,5.544236131,86,kidneybeans
6,65,21,19,23,5.594465164,103,kidneybeans
38,74,19,23,21,5.716775225,82,kidneybeans
17,69,15,20,25,5.715468456,144,kidneybeans
29,69,18,24,19,5.863068064,139,kidneybeans
24,67,22,22,21,5.763051443,61,kidneybeans
10,62,23,25,21,5.946694012,133,kidneybeans
26,62,22,19,20,5.558837737,84,kidneybeans
34,60,17,24,18,5.669951048,145,kidneybeans
30,77,25,24,22,5.998129532,118,kidneybeans
35,76,16,19,20,5.698759879,80,kidneybeans
28,60,23,19,25,5.700714967,64,kidneybeans
15,74,21,19,18,5.655559687,91,kidneybeans
12,70,17,20,24,5.916224285,114,kidneybeans
21,64,20,19,24,5.885465331,95,kidneybeans
30,60,25,15,24,5.71201702,125,kidneybeans
9,71,17,23,20,5.529212372,114,kidneybeans
7,76,22,20,25,5.929584296,108,kidneybeans
23,55,17,19,20,5.865451189,123,kidneybeans
27,63,25,22,25,5.576622152,62,kidneybeans
18,76,22,18,18,5.679324326,131,kidneybeans
39,66,23,19,24,5.95146624,104,kidneybeans
12,69,18,25,24,5.554118267,106,kidneybeans
31,77,18,23,19,5.660197146,150,kidneybeans
24,62,22,19,20,5.586155048,95,kidneybeans
11,77,19,21,20,5.895015032,88,kidneybeans
28,60,24,15,25,5.696378264,130,kidneybeans
40,57,22,25,25,5.819423353,87,kidneybeans
25,55,16,15,25,5.885873859,104,kidneybeans
22,75,22,18,19,5.572779208,91,kidneybeans
17,57,24,17,18,5.694599137,88,kidneybeans
9,63,16,21,25,5.553239954,130,kidneybeans
26,70,24,19,21,5.627900223,97,kidneybeans
36,73,15,21,23,5.645492228,116,kidneybeans
8,67,15,15,22,5.887581172,145,kidneybeans
27,67,20,24,19,5.827985349,118,kidneybeans
15,68,25,25,19,5.612146989,134,kidneybeans
9,74,23,25,22,5.699639414,119,kidneybeans
15,68,19,23,24,5.583953148,70,kidneybeans
21,68,22,25,18,5.848817033,66,kidneybeans
23,63,22,24,23,5.62638875,93,kidneybeans
17,66,17,18,25,5.95374623,106,kidneybeans
6,77,17,18,25,5.858281054,89,kidneybeans
10,59,21,20,23,5.722073748,141,kidneybeans
34,70,19,18,25,5.974840017,97,kidneybeans
9,66,22,21,22,5.953736847,84,kidneybeans
12,70,24,16,23,5.75572859,70,kidneybeans
37,57,24,23,19,5.924915757,68,kidneybeans
36,55,22,16,22,5.920482025,68,kidneybeans
29,73,22,21,20,5.502165509,122,kidneybeans
20,61,16,34,75,4.826241228,155,pigeonpeas
16,60,15,26,74,6.29814678,141,pigeonpeas
5,68,24,30,69,5.194731398,146,pigeonpeas
36,69,25,23,41,4.554913952,135,pigeonpeas
38,71,22,24,54,7.315737742,193,pigeonpeas
18,68,21,23,71,7.130089931,191,pigeonpeas
15,55,15,28,53,7.248818815,165,pigeonpeas
27,75,23,21,83,5.384794865,196,pigeonpeas
31,80,24,29,33,4.812006351,194,pigeonpeas
39,57,17,35,81,4.828342977,97,pigeonpeas
6,62,17,19,57,5.468023705,127,pigeonpeas
27,65,20,21,34,6.605919847,100,pigeonpeas
24,62,22,27,43,5.751147611,183,pigeonpeas
37,71,21,23,97,7.281795611,102,pigeonpeas
17,59,18,29,82,4.857065958,99,pigeonpeas
31,64,15,19,91,6.268585989,118,pigeonpeas
4,59,22,25,65,4.553146638,111,pigeonpeas
15,62,15,35,40,4.846227877,133,pigeonpeas
8,58,21,23,77,5.857616198,90,pigeonpeas
16,72,19,27,30,5.839872476,180,pigeonpeas
34,80,16,21,76,6.136618908,105,pigeonpeas
36,67,22,21,54,6.969324465,186,pigeonpeas
31,64,17,33,53,6.30164822,162,pigeonpeas
15,72,21,30,99,7.076311733,142,pigeonpeas
38,70,25,32,44,4.70869573,121,pigeonpeas
8,64,16,23,44,7.234153144,112,pigeonpeas
29,59,15,19,40,5.969585228,160,pigeonpeas
19,56,18,19,42,7.47903303,105,pigeonpeas
36,73,19,25,55,5.180961368,135,pigeonpeas
12,64,22,34,89,4.620207901,100,pigeonpeas
18,56,24,34,39,6.515817452,163,pigeonpeas
22,72,18,27,97,5.178096757,90,pigeonpeas
39,73,20,21,97,5.291080315,129,pigeonpeas
33,77,21,35,80,7.001042161,175,pigeonpeas
13,65,24,19,71,5.725495874,104,pigeonpeas
32,75,17,31,52,5.588666037,101,pigeonpeas
39,71,16,29,45,6.981254203,187,pigeonpeas
29,72,19,34,57,5.222246721,187,pigeonpeas
19,61,22,32,92,5.533757528,177,pigeonpeas
38,60,16,33,79,4.646159597,119,pigeonpeas
17,66,21,21,79,6.65394212,154,pigeonpeas
16,78,15,31,82,5.055679893,193,pigeonpeas
6,55,24,31,41,5.357855914,193,pigeonpeas
19,74,18,21,52,7.217700616,138,pigeonpeas
21,77,16,32,46,6.802615073,140,pigeonpeas
39,76,15,27,96,6.208026743,176,pigeonpeas
39,75,15,31,30,5.988278843,90,pigeonpeas
10,55,17,26,72,7.014182113,189,pigeonpeas
22,58,15,18,61,5.150094845,189,pigeonpeas
23,59,16,31,80,7.200730201,124,pigeonpeas
21,59,17,22,86,6.344635781,134,pigeonpeas
9,71,23,34,44,5.550451285,127,pigeonpeas
4,72,17,31,38,5.974441527,172,pigeonpeas
29,58,21,19,54,5.094916733,103,pigeonpeas
33,80,15,29,65,4.510257746,177,pigeonpeas
14,72,17,21,64,5.838795074,124,pigeonpeas
19,61,22,33,32,4.992383536,117,pigeonpeas
40,60,18,18,31,5.300223916,155,pigeonpeas
18,74,17,35,97,7.253642889,192,pigeonpeas
27,76,24,22,97,6.960126298,158,pigeonpeas
13,66,25,24,77,5.621535845,172,pigeonpeas
24,58,23,25,32,6.601620531,98,pigeonpeas
21,69,23,18,60,4.977645865,184,pigeonpeas
21,65,25,32,49,5.268514671,127,pigeonpeas
20,56,20,26,43,5.86705063,101,pigeonpeas
3,77,20,29,37,7.221176379,180,pigeonpeas
12,61,25,35,96,6.808687614,160,pigeonpeas
39,55,19,20,81,7.16005337,135,pigeonpeas
23,71,20,20,84,4.804514352,154,pigeonpeas
28,63,22,33,97,6.717024309,173,pigeonpeas
30,72,22,23,66,6.519977622,121,pigeonpeas
34,76,18,28,51,5.833309514,92,pigeonpeas
22,61,25,27,31,6.29759584,191,pigeonpeas
3,62,20,19,85,7.445800603,175,pigeonpeas
